Year,Month,System,TotalVolume_ML
2013,1,Goulburn,3064463
2013,1,Latrobe,236828
2013,1,Loddon,196602
2013,1,Maribyrnong,22687
2013,1,Melbourne,1414554
2013,1,Murray,3731259
2013,1,Ovens,34109
2013,1,South Gippsland,6063
2013,1,Thomson/Macalister,93909
2013,1,Werribee,56412
2013,2,,53198
2013,2,Ballarat,51281
2013,2,Bendigo,103770
2013,2,Broken,28959
2013,2,Campaspe,204710
2013,2,Geelong,74482
2013,2,Glenelg/Wimmera,226989
2013,2,Goulburn,2887100
2013,2,Latrobe,229497
2013,2,Loddon,186291
2013,2,Maribyrnong,23085
2013,2,Melbourne,1373503
2013,2,Murray,3501532
2013,2,Ovens,28759
2013,2,South Gippsland,5318
2013,2,Thomson/Macalister,71452
2013,2,Werribee,52041
2013,3,,42928
2013,3,Ballarat,49519
2013,3,Bendigo,99927
2013,3,Broken,26774
2013,3,Campaspe,195728
2013,3,Geelong,69432
2013,3,Glenelg/Wimmera,218100
2013,3,Goulburn,2684780
2013,3,Latrobe,220553
2013,3,Loddon,168106
2013,3,Maribyrnong,22051
2013,3,Melbourne,1333831
2013,3,Murray,3483590
2013,3,Ovens,28463
2013,3,South Gippsland,4803
2013,3,Thomson/Macalister,52387
2013,3,Werribee,49567
2013,4,,37019
2013,4,Ballarat,48303
2013,4,Bendigo,97076
2013,4,Broken,25161
2013,4,Campaspe,190490
2013,4,Geelong,66204
2013,4,Glenelg/Wimmera,202230
2013,4,Goulburn,2516076
2013,4,Latrobe,214249
2013,4,Loddon,153586
2013,4,Maribyrnong,21734
2013,4,Melbourne,1300555
2013,4,Murray,3475218
2013,4,Ovens,24026
2013,4,South Gippsland,4316
2013,4,Thomson/Macalister,36530
2013,4,Werribee,47449
2013,5,,30593
2013,5,Ballarat,47294
2013,5,Bendigo,95067
2013,5,Broken,24699
2013,5,Campaspe,186568
2013,5,Geelong,63895
2013,5,Glenelg/Wimmera,205320
2013,5,Goulburn,2481989
2013,5,Latrobe,216938
2013,5,Loddon,148033
2013,5,Maribyrnong,21527
2013,5,Melbourne,1268544
2013,5,Murray,3557919
2013,5,Ovens,25462
2013,5,South Gippsland,4314
2013,5,Thomson/Macalister,22237
2013,5,Werribee,46458
2013,6,,30333
2013,6,Ballarat,46684
2013,6,Bendigo,95024
2013,6,Broken,25054
2013,6,Campaspe,185494
2013,6,Geelong,65074
2013,6,Glenelg/Wimmera,204060
2013,6,Goulburn,2541116
2013,6,Latrobe,239903
2013,6,Loddon,148483
2013,6,Maribyrnong,21716
2013,6,Melbourne,1282914
2013,6,Murray,3850921
2013,6,Ovens,26352
2013,6,South Gippsland,6294
2013,6,Thomson/Macalister,104980
2013,6,Werribee,46913
2013,7,,43170
2013,7,Ballarat,46400
2013,7,Bendigo,100906
2013,7,Broken,31334
2013,7,Campaspe,188114
2013,7,Geelong,66040
2013,7,Glenelg/Wimmera,222579
2013,7,Goulburn,2763820
2013,7,Latrobe,246624
2013,7,Loddon,151330
2013,7,Maribyrnong,22831
2013,7,Melbourne,1305126
2013,7,Murray,4221428
2013,7,Ovens,28927
2013,7,South Gippsland,7703
2013,7,Thomson/Macalister,159165
2013,7,Werribee,48660
2013,8,,44672
2013,8,Ballarat,47794
2013,8,Bendigo,121732
2013,8,Broken,40757
2013,8,Campaspe,208009
2013,8,Geelong,79382
2013,8,Glenelg/Wimmera,269800
2013,8,Goulburn,3386566
2013,8,Latrobe,246612
2013,8,Loddon,170486
2013,8,Maribyrnong,23339
2013,8,Melbourne,1391844
2013,8,Murray,4307276
2013,8,Ovens,29012
2013,8,South Gippsland,9979
2013,8,Thomson/Macalister,165383
2013,8,Werribee,53217
2013,9,,47730
2013,9,Ballarat,49010
2013,9,Bendigo,127718
2013,9,Broken,40714
2013,9,Campaspe,225724
2013,9,Geelong,82962
2013,9,Glenelg/Wimmera,286780
2013,9,Goulburn,3565381
